market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,26w,score_intensity,Mild Positive,99,10.886466,11.266019,85.858586,-4.326897,-21.123396,10.375691,1.049228,7.199468,3.686998,4.107649,4e-05
sp500,S&P 500,26w,score_intensity,Risk-On,6,7.851768,7.538448,100.0,-3.943822,-13.395185,6.695014,1.172778,7.199468,0.6523,0.238074,0.811824
sp500,S&P 500,26w,score_intensity,Extreme Positive,4,5.447377,2.791399,100.0,-6.775555,-9.708125,5.748442,0.947627,7.199468,-1.75209,-0.606142,0.54442
sp500,S&P 500,52w,regime,Mixed,226,18.661066,18.703077,89.380531,-8.421223,-30.541844,15.659304,1.191692,15.341466,3.3196,5.396864,0.0
sp500,S&P 500,52w,regime,Caution,145,10.098955,14.110207,71.724138,-14.152572,-33.807867,13.986711,0.722039,15.341466,-5.242511,-5.524159,0.0
sp500,S&P 500,52w,regime,Risk-On,10,16.33492,16.236069,100.0,-5.076515,-13.395185,3.845766,4.247508,15.341466,0.993454,0.698508,0.484859
sp500,S&P 500,52w,score_sign,Zero,97,12.83992,10.886303,80.412371,-10.772801,-29.39283,16.801239,0.764225,15.341466,-2.501546,-1.7489,0.080308
sp500,S&P 500,52w,score_sign,Negative,179,11.014302,14.377691,75.977654,-13.765406,-33.807867,13.337162,0.825836,15.341466,-4.327164,-5.412391,0.0
sp500,S&P 500,52w,score_sign,Positive,105,25.029202,24.539028,97.142857,-4.73443,-24.886948,12.930048,1.935739,15.341466,9.687736,8.688332,0.0
sp500,S&P 500,52w,score_intensity,Zero,97,12.83992,10.886303,80.412371,-10.772801,-29.39283,16.801239,0.764225,15.341466,-2.501546,-1.7489,0.080308
sp500,S&P 500,52w,score_intensity,Caution,113,8.385741,13.263603,66.371681,-16.090481,-33.807867,14.324072,0.58543,15.341466,-6.955725,-6.082292,0.0
sp500,S&P 500,52w,score_intensity,Extreme Negative,32,16.148741,16.464382,90.625,-7.309332,-19.523373,10.906535,1.480648,15.341466,0.807275,0.418837,0.675335
sp500,S&P 500,52w,score_intensity,Mild Negative,34,14.917991,16.199644,94.117647,-12.114256,-30.541844,9.297391,1.604535,15.341466,-0.423475,-0.257212,0.797016
sp500,S&P 500,52w,score_intensity,Mild Positive,95,25.944389,26.035907,96.842105,-4.698421,-24.886948,13.216196,1.963075,15.341466,10.602923,8.81717,0.0
sp500,S&P 500,52w,score_intensity,Risk-On,6,16.551091,17.184954,100.0,-3.943822,-13.395185,4.830561,3.426329,15.341466,1.209625,0.57745,0.563635
sp500,S&P 500,52w,score_intensity,Extreme Positive,4,16.010663,16.197049,100.0,-6.775555,-9.708125,2.290319,6.990583,15.341466,0.669198,0.484816,0.627807
nq,NASDAQ-100,1d,regime,Mixed,344,0.115268,0.191279,59.302326,-0.488016,-12.193224,1.640489,0.070264,0.111003,0.004265,0.111245,0.911422
nq,NASDAQ-100,1d,regime,Risk-On,88,0.156808,0.219446,56.818182,-0.448696,-3.602199,1.354702,0.115751,0.111003,0.045805,0.339026,0.73459
nq,NASDAQ-100,1d,regime,Caution,24,-0.118081,0.105739,54.166667,-0.561314,-3.813702,1.391808,-0.08484,0.111003,-0.229084,-0.82204,0.411054
nq,NASDAQ-100,1d,score_sign,Positive,208,0.150369,0.248678,60.096154,-0.432405,-4.76565,1.34433,0.111854,0.111003,0.039366,0.499509,0.617421
nq,NASDAQ-100,1d,score_sign,Zero,136,0.174132,0.217563,58.088235,-0.524717,-6.82634,1.72476,0.10096,0.111003,0.063129,0.528354,0.597254
nq,NASDAQ-100,1d,score_sign,Negative,112,-0.038763,0.143762,56.25,-0.53154,-12.193224,1.774904,-0.021839,0.111003,-0.149766,-1.065715,0.286552
nq,NASDAQ-100,1d,score_intensity,Mild Positive,120,0.145647,0.248678,62.5,-0.420458,-4.76565,1.342346,0.108502,0.111003,0.034645,0.309105,0.757242
nq,NASDAQ-100,1d,score_intensity,Zero,136,0.174132,0.217563,58.088235,-0.524717,-6.82634,1.72476,0.10096,0.111003,0.063129,0.528354,0.597254
nq,NASDAQ-100,1d,score_intensity,Mild Negative,88,-0.017131,0.150575,56.818182,-0.523419,-12.193224,1.872166,-0.00915,0.111003,-0.128133,-0.740964,0.458716
nq,NASDAQ-100,1d,score_intensity,Extreme Positive,38,-0.053519,-0.010307,50.0,-0.559499,-3.602199,1.414191,-0.037844,0.111003,-0.164522,-0.740947,0.458726
nq,NASDAQ-100,1d,score_intensity,Risk-On,50,0.316657,0.345981,62.0,-0.364486,-2.352508,1.299196,0.243733,0.111003,0.205654,1.153385,0.248752
nq,NASDAQ-100,1d,score_intensity,Caution,24,-0.118081,0.105739,54.166667,-0.561314,-3.813702,1.391808,-0.08484,0.111003,-0.229084,-0.82204,0.411054
nq,NASDAQ-100,2d,regime,Mixed,344,0.243501,0.323262,58.72093,-0.767979,-12.193224,1.882604,0.129343,0.247459,-0.003958,-0.082634,0.934143
nq,NASDAQ-100,2d,regime,Risk-On,88,0.329701,0.404069,61.363636,-0.711483,-4.861753,1.794786,0.183699,0.247459,0.082241,0.47474,0.634972
nq,NASDAQ-100,2d,regime,Caution,24,0.002644,0.435126,54.166667,-0.799731,-4.080951,1.648868,0.001604,0.247459,-0.244815,-0.741916,0.458138
nq,NASDAQ-100,2d,score_sign,Positive,208,0.393589,0.423874,64.903846,-0.664163,-4.952075,1.755623,0.224188,0.247459,0.14613,1.557942,0.119247
nq,NASDAQ-100,2d,score_sign,Zero,136,0.150872,0.19563,52.941176,-0.913714,-6.82634,2.131801,0.070772,0.247459,-0.096587,-0.666264,0.505243
nq,NASDAQ-100,2d,score_sign,Negative,112,0.093359,0.241145,55.357143,-0.746231,-12.193224,1.645563,0.056734,0.247459,-0.1541,-1.094612,0.273687
nq,NASDAQ-100,2d,score_intensity,Mild Positive,120,0.440441,0.448924,67.5,-0.629461,-4.952075,1.732405,0.254237,0.247459,0.192981,1.38717,0.16539
nq,NASDAQ-100,2d,score_intensity,Zero,136,0.150872,0.19563,52.941176,-0.913714,-6.82634,2.131801,0.070772,0.247459,-0.096587,-0.666264,0.505243
nq,NASDAQ-100,2d,score_intensity,Mild Negative,88,0.1181,0.196646,55.681818,-0.73164,-12.193224,1.65325,0.071435,0.247459,-0.12936,-0.793185,0.42767
nq,NASDAQ-100,2d,score_intensity,Extreme Positive,38,0.243533,0.485557,60.526316,-0.825731,-3.602199,1.867683,0.130393,0.247459,-0.003926,-0.013543,0.989194
nq,NASDAQ-100,2d,score_intensity,Risk-On,50,0.395188,0.404069,62.0,-0.624655,-4.861753,1.753643,0.225352,0.247459,0.147729,0.626804,0.530788
nq,NASDAQ-100,2d,score_intensity,Caution,24,0.002644,0.435126,54.166667,-0.799731,-4.080951,1.648868,0.001604,0.247459,-0.244815,-0.741916,0.458138
nq,NASDAQ-100,3d,regime,Mixed,344,0.367837,0.438217,59.593023,-1.02078,-12.193224,2.355348,0.156171,0.404651,-0.036815,-0.613713,0.539405
nq,NASDAQ-100,3d,regime,Risk-On,88,0.466909,0.377365,55.681818,-0.971298,-5.541818,2.099069,0.222436,0.404651,0.062258,0.301806,0.7628
nq,NASDAQ-100,3d,regime,Caution,24,0.704049,0.64444,62.5,-0.94602,-4.080951,2.609963,0.269754,0.404651,0.299398,0.580767,0.561398
nq,NASDAQ-100,3d,score_sign,Positive,208,0.503243,0.446604,60.576923,-0.902079,-5.541818,1.985758,0.253426,0.404651,0.098592,0.849864,0.395401
nq,NASDAQ-100,3d,score_sign,Zero,136,0.356361,0.438256,57.352941,-1.158319,-6.82634,2.627514,0.135627,0.404651,-0.048291,-0.268698,0.788162
nq,NASDAQ-100,3d,score_sign,Negative,112,0.280191,0.379165,58.035714,-1.019312,-12.193224,2.499497,0.112099,0.404651,-0.12446,-0.620861,0.534691
nq,NASDAQ-100,3d,score_intensity,Mild Positive,120,0.529888,0.569681,64.166667,-0.851319,-4.952075,1.906905,0.277879,0.404651,0.125237,0.774452,0.438664
nq,NASDAQ-100,3d,score_intensity,Zero,136,0.356361,0.438256,57.352941,-1.158319,-6.82634,2.627514,0.135627,0.404651,-0.048291,-0.268698,0.788162
nq,NASDAQ-100,3d,score_intensity,Mild Negative,88,0.164594,0.321413,56.818182,-1.039301,-12.193224,2.471235,0.066604,0.404651,-0.240058,-1.029247,0.303364
nq,NASDAQ-100,3d,score_intensity,Extreme Positive,38,0.458469,0.322097,60.526316,-1.070124,-5.541818,2.302274,0.199137,0.404651,0.053817,0.150393,0.880454
nq,NASDAQ-100,3d,score_intensity,Risk-On,50,0.473324,0.402158,52.0,-0.89619,-4.861753,1.954627,0.242155,0.404651,0.068672,0.25689,0.797264
nq,NASDAQ-100,3d,score_intensity,Caution,24,0.704049,0.64444,62.5,-0.94602,-4.080951,2.609963,0.269754,0.404651,0.299398,0.580767,0.561398
