dataset,dataset_label,player,player_key,signal,target,horizon,n,pearson_r,spearman_r,slope_pp_per_unit,hac_t,hac_p,bucket_n,bucket_top_n,bucket_bottom_n,bucket_top_avg,bucket_bottom_avg,bucket_top_minus_bottom,bucket_top_hit,bucket_bottom_hit,bucket_top_avg_drawdown,bucket_bottom_avg_drawdown,abs_spearman,top_minus_bottom_abs,evidence,evidence_rank
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,13w,461,-0.2015745628218496,-0.1539414843385418,-0.7082528177710979,-1.75832024049148,0.0786930356535012,461,139,139,3.3341541824230596,4.786614971396666,-1.4524607889736068,76.2589928057554,75.53956834532374,-3.979905684163956,-4.423960189458382,0.1539414843385418,1.4524607889736068,tentative,1
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,13w,461,-0.2015745628218496,-0.1539414843385418,-0.7082528177710979,-1.75832024049148,0.0786930356535012,461,139,139,3.3341541824230596,4.786614971396666,-1.4524607889736068,76.2589928057554,75.53956834532374,-3.979905684163956,-4.423960189458382,0.1539414843385418,1.4524607889736068,tentative,1
legacy,Legacy,Commercial,commercial,net_z,S&P 500,13w,474,0.1799467936396009,0.18064163003381825,0.6717810042297437,1.7486355265850138,0.08035404119661939,474,142,142,4.280409095544632,0.7976757279665355,3.482733367578097,80.28169014084507,56.33802816901409,-3.890503053069889,-6.929661885274186,0.18064163003381825,3.482733367578097,tentative,1
tff,TFF Detailed,Dealer / Intermediary,dealer,trend13_z,S&P 500,13w,461,0.22353878595484386,0.19204697028897727,0.8812829943159316,1.7029195340645524,0.08858312786730173,461,139,139,4.609146377622183,1.5128224870089326,3.0963238906132506,73.38129496402878,68.34532374100719,-5.434459799864962,-6.151188257069126,0.19204697028897727,3.0963238906132506,tentative,1
legacy,Legacy,Commercial,commercial,net_z,S&P 500,26w,461,0.22197034063562904,0.2692090329740052,1.0777720347194264,1.6694687266578294,0.09502452317515572,461,139,139,9.17221354697826,2.523762991068878,6.648450555909381,91.36690647482014,58.992805755395686,-4.393506674351499,-10.795710796301044,0.2692090329740052,6.648450555909381,tentative,1
tff,TFF Detailed,Leveraged Funds,lev_money,trend26_z,S&P 500,4w,457,0.14825532495567922,0.21951353520682643,0.33780642456505267,1.6480429257705813,0.09934386289098585,457,137,137,2.014399644871228,-0.12979149189182057,2.1441911367630486,75.91240875912408,54.74452554744526,-2.9693116170564005,-3.084005387444349,0.21951353520682643,2.1441911367630486,tentative,1
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,NASDAQ-100,1w,473,-0.09167843982047189,-0.08168178847192734,-0.1451802174933352,-2.3099543854902387,0.020890679619183877,473,142,142,0.06254494781723949,0.7267370615462435,-0.664192113729004,55.633802816901415,62.676056338028175,-1.9795409695041553,-1.0644508440066127,0.08168178847192734,0.664192113729004,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,NASDAQ-100,1w,473,-0.10243917063846207,-0.10810442731804054,-0.14611020832476962,-2.2185945929278916,0.026514317741165163,473,142,142,0.4326366898530963,0.6327197688309153,-0.20008307897781902,57.04225352112676,62.676056338028175,-1.4111257959048606,-1.5574657456279033,0.10810442731804054,0.20008307897781902,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,NASDAQ-100,1w,473,-0.10243917063846207,-0.10810442731804054,-0.14611020832476962,-2.2185945929278916,0.026514317741165163,473,142,142,0.4326366898530963,0.6327197688309153,-0.20008307897781902,57.04225352112676,62.676056338028175,-1.4111257959048606,-1.5574657456279033,0.10810442731804054,0.20008307897781902,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,flow4_z,NASDAQ-100,4w,479,-0.13025276323920507,-0.08116597950751654,-0.38177316090299734,-2.1362275317278208,0.03266087239550303,479,144,144,1.0787338030363793,1.5012642051358729,-0.42253040209949355,61.111111111111114,68.75,-4.076650018284588,-3.3309569136056045,0.08116597950751654,0.42253040209949355,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,trend13_z,S&P 500,4w,470,-0.13983490643490884,-0.11474289828999545,-0.2963547847575727,-2.006711572535914,0.044780383084236534,470,141,141,1.2093178050916906,1.9135457389110728,-0.7042279338193822,69.50354609929079,75.88652482269504,-2.0513819666103474,-2.5978665047010168,0.11474289828999545,0.7042279338193822,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,trend13_z,S&P 500,4w,470,-0.13983490643490884,-0.11474289828999545,-0.2963547847575727,-2.006711572535914,0.044780383084236534,470,141,141,1.2093178050916906,1.9135457389110728,-0.7042279338193822,69.50354609929079,75.88652482269504,-2.0513819666103474,-2.5978665047010168,0.11474289828999545,0.7042279338193822,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,flow1_z,S&P 500,13w,473,-0.07589816639277655,-0.06767232757263841,-0.2932244023558326,-2.004585324505076,0.0450073968334335,473,142,142,3.369472991326839,4.326798181887186,-0.9573251905603475,74.64788732394366,80.28169014084507,-5.89912737120516,-4.243453541675894,0.06767232757263841,0.9573251905603475,weak/mixed,2
tff,TFF Detailed,Non-reportable,non_reportable,flow1_z,NASDAQ-100,13w,473,-0.0857433049121299,-0.051233686208215085,-0.45061335250411455,-1.9179550693439944,0.055116708549088754,473,142,142,5.1003780863254695,6.012847795501307,-0.9124697091758378,76.76056338028168,75.35211267605634,-5.569909198015883,-6.212270946936953,0.051233686208215085,0.9124697091758378,weak/mixed,2
legacy,Legacy,Nonreportable,nonreportable,flow1_z,NASDAQ-100,13w,473,-0.0857433049121299,-0.051233686208215085,-0.45061335250411455,-1.9179550693439944,0.055116708549088754,473,142,142,5.1003780863254695,6.012847795501307,-0.9124697091758378,76.76056338028168,75.35211267605634,-5.569909198015883,-6.212270946936953,0.051233686208215085,0.9124697091758378,weak/mixed,2
legacy,Legacy,Commercial,commercial,net_z,NASDAQ-100,1w,486,0.0753923566568427,0.08508323447956659,0.11465120994103245,1.8878892796309457,0.05904081603529312,486,146,146,0.5851604414784255,0.03033044682877473,0.5548299946496508,62.328767123287676,54.109589041095894,-1.4159723649466813,-1.782370624193491,0.08508323447956659,0.5548299946496508,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow1_z,NASDAQ-100,4w,482,0.08608826441431335,0.04938911866568371,0.3057865437950202,1.828056905177702,0.06754101173199738,482,145,145,1.566728105513982,1.5155795624725192,0.05114854304146266,66.20689655172414,63.44827586206897,-3.3370805258254723,-3.84100787350878,0.04938911866568371,0.05114854304146266,weak/mixed,2
tff,TFF Detailed,Other Reportables,other_reportable,trend13_z,S&P 500,1w,473,-0.08269348831582939,-0.06439516785634747,-0.1000308209281833,-1.7730939430191477,0.07621314149002642,473,142,142,0.030943774724832278,0.46533313748090094,-0.43438936275606865,58.45070422535211,66.90140845070422,-1.5658990712920953,-0.7743118308243154,0.06439516785634747,0.43438936275606865,weak/mixed,2
tff,TFF Detailed,Asset Manager / Institutional,asset_mgr,flow4_z,NASDAQ-100,1w,482,0.06994407087362062,0.038229451723949294,0.12063584336867943,1.7149388011105038,0.08635644782397278,482,145,145,0.5143661889685955,0.14626912829536143,0.3680970606732341,64.82758620689654,52.41379310344828,-1.196825380784775,-2.013171424942559,0.038229451723949294,0.3680970606732341,weak/mixed,2
legacy,Legacy,Noncommercial,noncommercial,net_z,NASDAQ-100,1w,486,-0.06408992947869845,-0.05583119618415312,-0.10688531109675366,-1.7132086720289954,0.08667415680195105,486,146,146,0.24305608762936703,0.6150182716394106,-0.37196218401004355,58.21917808219178,63.013698630136986,-1.6451959110729546,-1.3385528255326806,0.05583119618415312,0.37196218401004355,weak/mixed,2
