dataset,market,category,position_change_metric,horizon,increase_n,increase_mean_return,increase_median_return,increase_hit_rate,increase_stdev,decrease_n,decrease_mean_return,decrease_median_return,decrease_hit_rate,decrease_stdev,mean_diff_up_minus_down,welch_t,normal_p_approx
tff_disaggregated,nq,asset_mgr,net_oi_pct_change,13w_post_release,251,0.057395651036739735,0.054968267371990676,0.7888446215139442,0.09307488567820421,294,0.04935403997333087,0.058698024899964896,0.7517006802721088,0.09088569017958205,0.008041611063408866,1.0163013299683799,0.30948591547170534
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1d_post_release,233,0.001764930729656149,0.0023336152025854595,0.6094420600858369,0.01373126332527807,325,0.0006099284075502186,0.001462991427764626,0.5784615384615385,0.014853097711262545,0.0011550023221059303,0.9468405857108873,0.34372001717109973
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2d_post_release,233,0.0027582060701940247,0.003301725549873513,0.6266094420600858,0.015371925556282725,325,0.0021574127643706575,0.0029112388050922533,0.5815384615384616,0.018240848817879827,0.0006007933058233671,0.42085338351460844,0.6738621471952921
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,3d_post_release,233,0.0032125229694195223,0.004168384102966494,0.5879828326180258,0.019414007287530448,325,0.0041175173908052235,0.004251719875130622,0.6,0.022365553888457908,-0.0009049944213857012,-0.5093615688026122,0.6104988091157901
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,1w_post_release,233,0.005830976391564249,0.00782864492274582,0.6223175965665236,0.026826836086431122,325,0.003029894037237591,0.0031461068756546418,0.5538461538461539,0.029370425283500277,0.0028010823543266577,1.16884654406117,0.24246546400846114
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,2w_post_release,233,0.00963906066260417,0.01281789339673578,0.6652360515021459,0.0394072117792653,324,0.007262453326448651,0.010780737716458821,0.6172839506172839,0.037459029569890515,0.0023766073361555194,0.7167132739477976,0.4735510337350955
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,4w_post_release,231,0.019785383178537758,0.025849758386575994,0.6623376623376623,0.05413479459843897,323,0.014269961202090523,0.02148434792653342,0.6656346749226006,0.05723980201943111,0.005515421976447235,1.1543159802631386,0.24837064727396008
tff_disaggregated,nq,asset_mgr,long_oi_pct_change,13w_post_release,228,0.05552631450017027,0.053595491541116314,0.7894736842105263,0.09381228806162302,317,0.05128200774871333,0.05871031437889651,0.7539432176656151,0.09061276372428366,0.004244306751456935,0.5284741545296724,0.5971702810090038
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1d_post_release,257,-0.00014730323192643704,0.0013045252052690248,0.5642023346303502,0.015976479211121816,301,0.0021505399437501595,0.002344467084597346,0.6146179401993356,0.012822861171250427,-0.0022978431756765965,-1.8519870704475274,0.06402767957782075
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2d_post_release,257,0.0017451950387631409,0.0026357600388005054,0.5836575875486382,0.017576954536616902,301,0.002974438663832373,0.0034844621566172407,0.6146179401993356,0.01667065539448648,-0.0012292436250692321,-0.8431690625359427,0.39913389825970447
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,3d_post_release,257,0.0026143449828714247,0.004779047171812101,0.5953307392996109,0.02253421261281612,301,0.004700413100626214,0.004065864676262576,0.5946843853820598,0.01991864443000789,-0.002086068117754789,-1.1493961526750702,0.25039266576361563
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,1w_post_release,257,0.002468535676312351,0.0031461068756546418,0.556420233463035,0.028753034651530413,301,0.005677473064865159,0.0072054967515706725,0.6046511627906976,0.02795517901235636,-0.003208937388552808,-1.3309257108908896,0.18321345632865682
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,2w_post_release,257,0.005333427342813551,0.010905160256811097,0.5875486381322957,0.03853963750787147,300,0.010760817283510174,0.011935902501139073,0.68,0.0379207309284022,-0.005427389940696623,-1.6691631984504827,0.09508504129785779
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,4w_post_release,256,0.012534899565189188,0.020706606908818204,0.64453125,0.056985300853525225,298,0.020035861388688018,0.025199834994396375,0.6812080536912751,0.054965952871999554,-0.00750096182349883,-1.570101379748503,0.1163915276568079
tff_disaggregated,nq,asset_mgr,short_oi_pct_change,13w_post_release,253,0.0555160182736321,0.0641431603249889,0.7865612648221344,0.08868942992817477,292,0.050927546366958995,0.05280034726777405,0.7534246575342466,0.09469958877268539,0.004588471906673108,0.5836666602641523,0.55944460210731
tff_disaggregated,nq,dealer,net_oi_pct_change,1d_post_release,290,0.0002605297242394919,0.0014038299047349767,0.5758620689655173,0.015620444558632733,268,0.0019921715389337727,0.0022449257518135646,0.6082089552238806,0.012905595601973815,-0.0017316418146942807,-1.4317226724582324,0.1522232051298711
tff_disaggregated,nq,dealer,net_oi_pct_change,2d_post_release,290,0.002755194709642804,0.0030852124496847377,0.593103448275862,0.017717237682637495,268,0.0020328906603703663,0.0031792070308430675,0.6082089552238806,0.016408162137731896,0.0007223040492724377,0.49998750779310835,0.6170838736252471
tff_disaggregated,nq,dealer,net_oi_pct_change,3d_post_release,290,0.0037292501741664264,0.004925153338936172,0.603448275862069,0.02150003679915576,268,0.003750852437978294,0.0037453442090639166,0.585820895522388,0.020846564508919634,-2.1602263811867656e-05,-0.012046825555142457,0.9903882563690893
tff_disaggregated,nq,dealer,net_oi_pct_change,1w_post_release,290,0.004772462609128301,0.006063114629009991,0.593103448275862,0.029257725285095487,268,0.0035795481518264166,0.003972655836886663,0.5708955223880597,0.027364472155322218,0.001192914457301884,0.4976590183228958,0.6187243979731551
tff_disaggregated,nq,dealer,net_oi_pct_change,2w_post_release,290,0.007299383145964996,0.0115670687897661,0.6344827586206897,0.04019483871333331,267,0.00929631048624077,0.011580877276181178,0.6404494382022472,0.036107697118773464,-0.0019969273402757745,-0.6176154210833352,0.5368288768087474
tff_disaggregated,nq,dealer,net_oi_pct_change,4w_post_release,289,0.018667673921646238,0.02163848245387401,0.6885813148788927,0.054347665359764166,265,0.014281747996836602,0.02421254017014207,0.6377358490566037,0.0577288851134716,0.004385925924809636,0.9186067080994974,0.3583013220141149
tff_disaggregated,nq,dealer,net_oi_pct_change,13w_post_release,284,0.05378147210963979,0.060533825395001295,0.7535211267605634,0.09622425531971614,261,0.05226995434192815,0.05324302691873828,0.7854406130268199,0.08713589574448756,0.0015115177677116343,0.19243973673752027,0.8473977686231677
