market,market_label,horizon,bucket_type,bucket,observations,avg_return_pct,median_return_pct,hit_rate_pct,avg_drawdown_pct,worst_drawdown_pct,volatility_pct,sharpe_like,unconditional_avg_return_pct,diff_vs_unconditional_pct,welch_t_stat_vs_rest,approx_p_value_vs_rest
sp500,S&P 500,4w,score_intensity,Risk-On,59,1.366152,2.06586,71.186441,-2.348315,-11.074175,4.086657,0.334296,1.11581,0.250342,0.486717,0.626459
sp500,S&P 500,4w,score_intensity,Mild Positive,18,2.238075,2.317586,77.777778,-2.82579,-17.470177,3.443683,0.649907,1.11581,1.122265,1.378589,0.168021
sp500,S&P 500,4w,score_intensity,Extreme Positive,34,2.029982,3.604713,64.705882,-3.164861,-11.844046,6.186532,0.328129,1.11581,0.914172,0.911082,0.362252
sp500,S&P 500,13w,regime,Mixed,307,4.105679,4.80752,77.198697,-5.244629,-33.807867,7.423023,0.553101,3.538633,0.567046,2.333065,0.019645
sp500,S&P 500,13w,regime,Caution,21,-3.580712,-4.74029,23.809524,-9.406056,-19.316536,6.179455,-0.579454,3.538633,-7.119344,-5.345368,0.0
sp500,S&P 500,13w,regime,Risk-On,93,3.274365,4.317878,70.967742,-4.587478,-24.699255,8.403744,0.389632,3.538633,-0.264268,-0.350877,0.725681
sp500,S&P 500,13w,score_sign,Negative,123,2.08559,3.741591,66.666667,-5.886862,-30.541844,6.634618,0.31435,3.538633,-1.453042,-2.69821,0.006971
sp500,S&P 500,13w,score_sign,Zero,187,4.305592,5.293804,75.935829,-5.466626,-33.807867,8.237623,0.522674,3.538633,0.766959,1.793959,0.07282
sp500,S&P 500,13w,score_sign,Positive,111,3.856677,4.904913,75.675676,-4.395682,-24.699255,7.930837,0.486289,3.538633,0.318044,0.496009,0.619888
sp500,S&P 500,13w,score_intensity,Mild Negative,102,3.252182,4.311559,75.490196,-5.162322,-30.541844,6.128525,0.530663,3.538633,-0.286451,-0.496378,0.619628
sp500,S&P 500,13w,score_intensity,Zero,187,4.305592,5.293804,75.935829,-5.466626,-33.807867,8.237623,0.522674,3.538633,0.766959,1.793959,0.07282
sp500,S&P 500,13w,score_intensity,Caution,15,-3.761161,-5.740972,20.0,-8.032547,-18.522164,5.75197,-0.653891,3.538633,-7.299794,-4.936076,1e-06
sp500,S&P 500,13w,score_intensity,Extreme Negative,6,-3.129588,-2.648875,33.333333,-12.83983,-19.316536,7.730607,-0.404831,3.538633,-6.668221,-2.128097,0.033329
sp500,S&P 500,13w,score_intensity,Risk-On,59,1.870506,3.886634,72.881356,-4.370923,-24.699255,7.628307,0.245206,3.538633,-1.668126,-1.80707,0.070751
sp500,S&P 500,13w,score_intensity,Mild Positive,18,6.865292,6.901242,100.0,-3.404735,-17.470177,3.654354,1.878661,3.538633,3.326659,3.67276,0.00024
sp500,S&P 500,13w,score_intensity,Extreme Positive,34,5.710472,6.588667,67.647059,-4.963264,-16.427462,9.218183,0.619479,3.538633,2.171839,1.451738,0.146575
sp500,S&P 500,26w,regime,Mixed,295,7.704025,9.214896,76.610169,-7.802787,-33.807867,10.004686,0.770042,7.199468,0.504558,1.566716,0.117181
sp500,S&P 500,26w,regime,Caution,21,-3.712307,-4.896757,28.571429,-15.807916,-22.182631,7.388243,-0.502461,7.199468,-10.911775,-6.803579,0.0
sp500,S&P 500,26w,regime,Risk-On,92,8.072323,7.951729,84.782609,-5.689852,-29.39283,10.137343,0.796296,7.199468,0.872855,0.936133,0.349205
sp500,S&P 500,26w,score_sign,Negative,121,5.921834,7.880734,76.033058,-9.015002,-30.541844,8.480285,0.698306,7.199468,-1.277633,-1.812882,0.06985
sp500,S&P 500,26w,score_sign,Zero,177,7.129759,8.705277,70.056497,-8.235347,-33.807867,11.307422,0.630538,7.199468,-0.069709,-0.117445,0.906508
sp500,S&P 500,26w,score_sign,Positive,110,8.717032,9.093156,85.454545,-5.534393,-29.39283,10.014693,0.870424,7.199468,1.517564,1.847548,0.064668
sp500,S&P 500,26w,score_intensity,Mild Negative,100,7.945004,8.660896,86.0,-7.58849,-30.541844,7.233224,1.098404,7.199468,0.745537,1.031162,0.302465
sp500,S&P 500,26w,score_intensity,Zero,177,7.129759,8.705277,70.056497,-8.235347,-33.807867,11.307422,0.630538,7.199468,-0.069709,-0.117445,0.906508
sp500,S&P 500,26w,score_intensity,Caution,15,-6.39562,-5.926473,13.333333,-16.295428,-22.182631,6.316052,-1.012598,7.199468,-13.595087,-8.269256,0.0
sp500,S&P 500,26w,score_intensity,Extreme Negative,6,2.995974,5.054011,66.666667,-14.589138,-19.316536,5.571693,0.537713,7.199468,-4.203494,-1.829792,0.067281
sp500,S&P 500,26w,score_intensity,Risk-On,58,6.273755,7.36336,87.931034,-6.081016,-29.39283,9.162461,0.684724,7.199468,-0.925712,-0.814376,0.41543
sp500,S&P 500,26w,score_intensity,Mild Positive,18,12.012211,14.035153,88.888889,-4.739825,-25.222338,8.900383,1.349629,7.199468,4.812744,2.330002,0.019806
sp500,S&P 500,26w,score_intensity,Extreme Positive,34,11.140467,10.099075,79.411765,-5.022571,-16.427462,11.090278,1.004526,7.199468,3.941,2.18009,0.029251
sp500,S&P 500,52w,regime,Mixed,268,14.482958,15.381269,81.343284,-11.334034,-33.807867,15.120859,0.957813,15.341466,-0.858508,-1.647966,0.09936
sp500,S&P 500,52w,regime,Caution,21,1.453119,3.541553,61.904762,-16.820836,-24.087122,11.08833,0.131049,15.341466,-13.888347,-5.765802,0.0
sp500,S&P 500,52w,regime,Risk-On,92,21.012503,20.929321,92.391304,-6.688324,-29.39283,14.544074,1.444747,15.341466,5.671037,4.244937,2.2e-05
sp500,S&P 500,52w,score_sign,Negative,99,12.30019,13.936626,86.868687,-11.161183,-30.541844,11.034255,1.114728,15.341466,-3.041275,-2.770925,0.00559
sp500,S&P 500,52w,score_sign,Zero,173,12.991551,15.13264,73.988439,-12.643188,-33.807867,17.038155,0.762498,15.341466,-2.349915,-2.686523,0.00722
sp500,S&P 500,52w,score_sign,Positive,109,21.833407,23.114922,93.577982,-6.549137,-29.39283,14.153248,1.542643,15.341466,6.491941,5.557417,0.0
sp500,S&P 500,52w,score_intensity,Mild Negative,78,15.220556,14.699299,93.589744,-9.637431,-30.541844,9.07178,1.677792,15.341466,-0.12091,-0.10835,0.913718
sp500,S&P 500,52w,score_intensity,Zero,173,12.991551,15.13264,73.988439,-12.643188,-33.807867,17.038155,0.762498,15.341466,-2.349915,-2.686523,0.00722
